usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type,inference_geo,speed
2026-02-12,--,Default,chat-key,--,--,--,0.07,web_search,--,--
2026-02-12,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_no_cache,0.09,token,not_available,
2026-02-12,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_cache_read,0.01,token,not_available,
2026-02-12,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_cache_write_5m,0.02,token,not_available,
2026-02-12,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,output,0.03,token,not_available,
2026-02-12,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_no_cache,0.01,token,not_available,
2026-02-12,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_read,2.63,token,not_available,
2026-02-12,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_write_5m,0.75,token,not_available,
2026-02-12,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_write_5m,1.16,token,not_available,
2026-02-12,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,output,1.78,token,not_available,
2026-02-14,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_no_cache,0.09,token,not_available,
2026-02-14,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_cache_read,0.01,token,not_available,
2026-02-14,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_cache_write_5m,0.13,token,not_available,
2026-02-14,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,output,0.04,token,not_available,
2026-02-14,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_no_cache,0.02,token,not_available,
2026-02-14,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_read,7.06,token,not_available,
2026-02-14,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_write_5m,3.03,token,not_available,
2026-02-14,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,output,2.10,token,not_available,
2026-02-15,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,input_no_cache,0.00,token,not_available,
2026-02-15,Claude Haiku 4.5,Default,chat-key,message,≤ 200k,output,0.00,token,not_available,
2026-02-15,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_no_cache,0.00,token,not_available,
2026-02-15,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_read,0.49,token,not_available,
2026-02-15,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,input_cache_write_5m,0.22,token,not_available,
2026-02-15,Claude Sonnet 4.5,Default,chat-key,message,≤ 200k,output,0.23,token,not_available,
